link_id,Oneway,Speed,DriveTime,Length_Miles,RoadClass,AADT,start_node,end_node,ft,lanes,sl,med,at,terrain,capacity
126378,B,25,0.11933687448,0.0497236977,10 Other Federal Aid Eligible Local Roads,5000,123588,123474,Local,1,25,None,Suburban,level,800
126379,B,25,0.31294973831999995,0.1303957243,"11 Other Local, Neighborhood, Rural Roads",NA,121798,121717,Local,1,25,None,Suburban,level,800
126381,TF,25,0.029861621279999997,0.0124423422,"11 Other Local, Neighborhood, Rural Roads",NA,118283,118508,Local,1,25,None,Suburban,level,800
126401,B,25,0.19420372416,0.0809182184,"11 Other Local, Neighborhood, Rural Roads",NA,126905,126887,Local,1,25,None,Suburban,level,800
126413,B,25,0.27319188624,0.1138299526,"11 Other Local, Neighborhood, Rural Roads",NA,121547,121680,Local,1,25,None,Suburban,level,800
126419,B,25,0.22016055576,0.0917335649,"11 Other Local, Neighborhood, Rural Roads",NA,122959,122935,Local,1,25,None,Suburban,level,800
126421,B,25,0.3195887037599999,0.1331619599,"11 Other Local, Neighborhood, Rural Roads",NA,122592,122570,Local,1,25,None,Suburban,level,800
126425,B,25,0.27146048279999996,0.1131085345,"11 Other Local, Neighborhood, Rural Roads",NA,124340,124425,Local,1,25,None,Suburban,level,800
126438,B,25,0.13609460328,0.0567060847,"11 Other Local, Neighborhood, Rural Roads",NA,112463,112463,Local,1,25,None,Suburban,level,800
126440,B,25,0.1103684268,0.0459868445,"11 Other Local, Neighborhood, Rural Roads",NA,128594,128505,Local,1,25,None,Suburban,level,800
126447,B,25,0.09624272448,0.0401011352,"11 Other Local, Neighborhood, Rural Roads",NA,133609,133737,Local,1,25,None,Suburban,level,800
126452,B,25,0.37141789248,0.1547574552,"11 Other Local, Neighborhood, Rural Roads",NA,136606,136686,Local,1,25,None,Suburban,level,800
126461,B,25,0.4948497852,0.2061874105,"11 Other Local, Neighborhood, Rural Roads",NA,121980,121764,Local,1,25,None,Suburban,level,800
126468,B,25,0.050008284,0.020836785,10 Other Federal Aid Eligible Local Roads,8600,129575,129594,Local,1,25,None,Suburban,level,800
126470,B,25,0.28886945592,0.1203622733,"11 Other Local, Neighborhood, Rural Roads",NA,127181,127134,Local,1,25,None,Suburban,level,800
126479,B,25,0.15360320088,0.0640013337,"11 Other Local, Neighborhood, Rural Roads",NA,132252,132250,Local,1,25,None,Suburban,level,800
